,p1,p2,p3,p4
0,0.735004267,0.405760115,0.463481854,0.281474585
1,0.726648013,0.409498917,0.470939609,0.277760257
2,0.735612575,0.398886568,0.495843388,0.270517849
3,0.739079361,0.379898073,0.493294126,0.274263712
4,0.732547828,0.358463113,0.530188502,0.288243949
5,0.74071327,0.38268738,0.492907968,0.316009642
6,0.741200658,0.410091306,0.454369038,0.29370718
7,0.741158735,0.397919021,0.436334861,0.322663367
8,0.722024971,0.387561009,0.426368741,0.321962032
9,0.730172366,0.407348494,0.452344181,0.30699842
10,0.747999597,0.402942073,0.428097866,0.253366353
11,0.721501316,0.406383509,0.407875273,0.285708472
12,0.691834539,0.413377317,0.409844896,0.300834026
13,0.733698146,0.41342159,0.387071895,0.332412063
14,0.698813213,0.403346101,0.328671282,0.292973976
15,0.673597567,0.40250225,0.342113757,0.33043911
16,0.680184118,0.424573709,0.346400472,0.338837976
17,0.695581347,0.425223256,0.33217653,0.308440183
18,0.665279829,0.395443845,0.385355991,0.307336406
19,0.661411279,0.435220861,0.401923143,0.290351741
20,0.661949138,0.410912611,0.398249836,0.271196954
21,0.654233993,0.43410913,0.415225809,0.252366339
22,0.67678513,0.388227855,0.452186207,0.287515569
23,0.659885743,0.389511366,0.461093342,0.271854671
24,0.666068018,0.398800031,0.449009712,0.265652547
25,0.693855048,0.413573954,0.452565344,0.25034404
26,0.665387551,0.433242785,0.440419535,0.257320124
27,0.636497297,0.448773815,0.415619749,0.254034703
28,0.638994832,0.429405459,0.383697745,0.268687372
29,0.578130636,0.410940076,0.385779103,0.269139552
30,0.547015321,0.431141489,0.457376883,0.274735338
31,0.489685474,0.476757946,0.460317929,0.260113935
32,0.536848324,0.47271727,0.462294434,0.27332593
33,0.551396021,0.483591319,0.506024589,0.282754269
34,0.512254452,0.470837367,0.457029769,0.269186602
35,0.491662308,0.465775001,0.447420114,0.265710056
36,0.493384941,0.411646758,0.428082592,0.25827737
37,0.493769778,0.429699634,0.373204395,0.27590428
38,0.466597382,0.413411606,0.347691188,0.280094663
39,0.505923327,0.411869078,0.322095757,0.339573972
